iter	MAE
0	429.5374876
1	419.8388041
2	410.4064337
3	401.4266977
4	392.4440283
5	384.4781477
6	376.4089661
7	368.2438231
8	360.459755
9	353.1337828
10	345.7762518
11	338.7392348
12	332.1254171
13	325.6488957
14	319.8643964
15	314.2442571
16	308.6379778
17	303.3832741
18	297.6260398
19	292.1249269
20	287.5600376
21	282.0121196
22	277.5844297
23	273.1657992
24	269.3442947
25	264.722643
26	261.0746291
27	257.4777417
28	253.9304527
29	250.122872
30	247.0535008
31	243.3595042
32	239.8393273
33	236.6997329
34	233.6919531
35	231.1709379
36	228.4721539
37	225.7409283
38	223.054692
39	220.1532073
40	217.1616755
41	214.7033895
42	211.7133569
43	209.3548992
44	207.0939466
45	204.9735737
46	202.2927218
47	199.663339
48	197.5359244
49	195.8609431
50	193.5366691
51	191.6706549
52	190.0470073
53	187.8438325
54	186.5451182
55	184.8208956
56	183.2084465
57	181.5883869
58	180.5854718
59	178.6477289
60	177.111585
61	176.2173601
62	174.3101744
63	172.9978418
64	171.9017156
65	170.6818488
66	169.0602158
67	168.0053943
68	167.2714836
69	166.3243314
70	164.8746432
71	164.1290206
72	162.9542313
73	161.610138
74	160.1992304
75	158.864769
76	158.1580183
77	156.9583793
78	156.0775543
79	155.4201354
80	154.3201007
81	153.7342856
82	152.8964171
83	151.8568286
84	150.9321548
85	150.0340382
86	149.1220114
87	148.1564087
88	147.3575675
89	146.5850272
90	145.7507117
91	145.2956502
92	144.783093
93	144.0440416
94	143.625508
95	142.8098907
96	142.3784512
97	141.6771464
98	141.1476156
99	140.6470049
100	139.9494627
101	139.3146661
102	139.0193231
103	138.4460535
104	138.0146171
105	137.5466946
106	137.1861318
107	136.7315526
108	136.1966537
109	135.8223702
110	135.5031282
111	135.1974279
112	134.9086576
113	134.475888
114	133.9972235
115	133.6975455
116	133.3477769
117	133.0623385
118	132.6267263
119	132.3330381
120	132.031395
121	131.6118477
122	131.3779934
123	131.0972034
124	130.9247553
125	130.5528784
126	130.3261084
127	130.0120026
128	129.800601
129	129.4248731
130	129.0572588
131	128.8302916
132	128.4735365
133	128.2272398
134	128.0905323
135	127.8340412
136	127.6726855
137	127.4665322
138	127.3256509
139	127.1427903
140	126.9641524
141	126.8395938
142	126.555867
143	126.3856379
144	126.2873848
145	126.0610506
146	125.9067235
147	125.8466717
148	125.7471
149	125.5795339
150	125.4618671
151	125.3476945
152	125.1156035
153	124.8935812
154	124.764572
155	124.7004425
156	124.6412572
157	124.5347307
158	124.4336963
159	124.3114154
160	124.1689013
161	123.9791165
162	123.8100784
163	123.7279758
164	123.6495897
165	123.5685769
166	123.5228872
167	123.3016303
168	123.2205541
169	123.0730617
170	122.8834798
171	122.7980015
172	122.6918688
173	122.5396389
174	122.4046075
175	122.278489
176	122.2235497
177	122.1234804
178	121.9194585
179	121.7914949
180	121.6736912
181	121.6235454
182	121.545054
183	121.4335251
184	121.2709975
185	121.2193034
186	121.1570313
187	120.8078286
188	120.7070084
189	120.5120041
190	120.3804589
191	120.3383903
192	120.2232295
193	120.1523712
194	120.0570799
195	119.9336614
196	119.9012373
197	119.8534954
198	119.7693685
199	119.6680298
200	119.535576
201	119.437731
202	119.3983015
203	119.3357413
204	119.2286232
205	119.1457008
206	119.0572001
207	119.0051722
208	118.9318934
209	118.7744443
210	118.6255391
211	118.5665711
212	118.3215425
213	118.212427
214	118.1418339
215	117.9479542
216	117.6942152
217	117.6134964
218	117.5792734
219	117.340027
220	117.2196172
221	117.0921211
222	116.9553209
223	116.9075182
224	116.835363
225	116.7728679
226	116.5951337
227	116.4900302
228	116.4279184
229	116.3746832
230	116.2794439
231	116.1620635
232	116.076285
233	116.0294687
234	115.870309
235	115.7904241
236	115.6323101
237	115.5730954
238	115.5308948
239	115.4783611
240	115.406673
241	115.3558361
242	115.3091825
243	115.2313964
244	115.1203031
245	115.0954201
246	115.0043861
247	114.8983665
248	114.85759
249	114.8164941
250	114.6224863
251	114.5724593
252	114.5417341
253	114.3463021
254	114.2081932
255	114.0993163
256	113.9338724
257	113.7937205
258	113.7242545
259	113.5827917
260	113.5146493
261	113.4358038
262	113.3780078
263	113.2948412
264	113.2479571
265	113.1924487
266	113.1227992
267	113.0489063
268	112.9950665
269	112.9629067
270	112.9379996
271	112.8638503
272	112.8396763
273	112.7864609
274	112.7545179
275	112.7155811
276	112.5560267
277	112.4879937
278	112.4284189
279	112.3948993
280	112.3357648
281	112.311221
282	112.2811242
283	112.178868
284	112.14831
285	112.0280581
286	111.9701988
287	111.9475152
288	111.8878976
289	111.8391976
290	111.810165
291	111.7356277
292	111.6724475
293	111.6489422
294	111.6229051
295	111.5745471
296	111.5335982
297	111.4717015
298	111.3710736
299	111.2793062
300	111.2009641
301	111.0610014
302	111.0294593
303	110.9545434
304	110.907047
305	110.8799725
306	110.8149276
307	110.723896
308	110.6834417
309	110.6243797
310	110.5404948
311	110.3897209
312	110.349954
313	110.323745
314	110.2664478
315	110.2417023
316	110.1982966
317	110.1122834
318	109.994104
319	109.9254047
320	109.9036759
321	109.8789674
322	109.8408648
323	109.7813814
324	109.691479
325	109.6424406
326	109.6150037
327	109.5304422
328	109.4904728
329	109.4681311
330	109.4303707
331	109.3924915
332	109.3558698
333	109.3153557
334	109.2993758
335	109.2743699
336	109.257678
337	109.1981535
338	109.1726954
339	109.1171677
340	109.0109681
341	108.9850475
342	108.9685289
343	108.9215124
344	108.7987274
345	108.7599711
346	108.5555951
347	108.534595
348	108.4886504
349	108.3230453
350	108.1819014
351	108.1286024
352	108.0731397
353	107.9880414
354	107.9619686
355	107.914354
356	107.8781185
357	107.814983
358	107.7890471
359	107.7629626
360	107.7493786
361	107.7084103
362	107.6754378
363	107.662339
364	107.6460039
365	107.6284409
366	107.6110747
367	107.5915999
368	107.4376401
369	107.3897144
370	107.3180986
371	107.2558936
372	107.2016904
373	107.1396854
374	107.1235094
375	107.1051356
376	107.0556723
377	106.9722878
378	106.9550645
379	106.9084019
380	106.889814
381	106.8672117
382	106.7053895
383	106.5863891
384	106.5556415
385	106.5236853
386	106.5073576
387	106.4906912
388	106.4692485
389	106.4295496
390	106.3875734
391	106.3676198
392	106.353542
393	106.2583632
394	106.2343416
395	106.1737741
396	106.144989
397	106.1303498
398	106.1155712
399	106.0821677
400	105.9851997
401	105.7964136
402	105.7589452
403	105.6546084
404	105.5953961
405	105.5692567
406	105.5220467
407	105.498334
408	105.469339
409	105.2593146
410	105.2344468
411	105.2140205
412	105.0412112
413	105.0047558
414	104.9058307
415	104.8903997
416	104.8583851
417	104.84113
418	104.8083097
419	104.75783
420	104.6747809
421	104.5840661
422	104.5442286
423	104.4825506
424	104.3514284
425	104.3349812
426	104.3213523
427	104.303047
428	104.2807026
429	104.0793965
430	103.9922431
431	103.9631175
432	103.9273335
433	103.8751048
434	103.8079169
435	103.7524438
436	103.7178747
437	103.7024381
438	103.6668489
439	103.6486624
440	103.5758215
441	103.5255308
442	103.4973533
443	103.4634256
444	103.4424128
445	103.4107921
446	103.3454481
447	103.3281628
448	103.3082464
449	103.2785764
450	103.2625154
451	103.1870484
452	103.1556391
453	103.1281896
454	103.0424002
455	102.9586452
456	102.9277688
457	102.9146015
458	102.8673914
459	102.8287266
460	102.7927904
461	102.7509019
462	102.7284357
463	102.6038956
464	102.5558769
465	102.5292936
466	102.4508398
467	102.4027767
468	102.3759182
469	102.3612123
470	102.3430714
471	102.3113812
472	102.2421381
473	102.2000545
474	102.15252
475	102.1348556
476	102.1182626
477	102.1097148
478	102.0593059
479	101.9833835
480	101.897543
481	101.8323444
482	101.8202747
483	101.7747822
484	101.6605117
485	101.6449419
486	101.6243389
487	101.6010509
488	101.5876357
489	101.5729145
490	101.5464536
491	101.4728641
492	101.456168
493	101.4250693
494	101.345221
495	101.3316169
496	101.3155926
497	101.2992134
498	101.2815189
499	101.2717986
500	101.257313
501	101.2204987
502	101.2049831
503	101.1814846
504	101.108474
505	101.0202516
506	100.9953625
507	100.9605112
508	100.9415766
509	100.9064102
510	100.8964136
511	100.8682766
512	100.8564751
513	100.8307359
514	100.7922823
515	100.7659024
516	100.7424367
517	100.6717844
518	100.6410063
519	100.4902162
520	100.4812233
521	100.3993736
522	100.385303
523	100.3730439
524	100.3343375
525	100.3193662
526	100.2735511
527	100.2466812
528	100.2059585
529	100.1950661
530	100.1580724
531	100.1478366
532	100.1055439
533	100.0663491
534	100.0481349
535	100.0144233
536	100.0037883
537	99.9749455
538	99.95993527
539	99.95148511
540	99.93654199
541	99.90954771
542	99.89639482
543	99.86555049
544	99.85478844
545	99.84526407
546	99.7862946
547	99.76712097
548	99.74830718
549	99.7311705
550	99.71059079
551	99.68739416
552	99.65689114
553	99.64481036
554	99.55671292
555	99.49899943
556	99.4784265
557	99.46609096
558	99.45194006
559	99.44019581
560	99.43118027
561	99.36561367
562	99.34617871
563	99.32894466
564	99.29168557
565	99.16834177
566	99.05710108
567	98.98339443
568	98.97257859
569	98.93485319
570	98.92522537
571	98.89279324
572	98.84596157
573	98.81360941
574	98.78097355
575	98.74896774
576	98.74251537
577	98.69452269
578	98.67481395
579	98.66934705
580	98.65076305
581	98.6399239
582	98.63077763
583	98.55277572
584	98.47583132
585	98.39439048
586	98.36451267
587	98.34158922
588	98.27566254
589	98.24341345
590	98.2192598
591	98.2041287
592	98.17170618
593	98.11359208
594	98.04170371
595	98.00490278
596	97.95968511
597	97.94391858
598	97.91883098
599	97.91099368
600	97.89793166
601	97.88089212
