fold,test_month,n_train,n_test,mae_nn,r2_nn,mae_lgbm,r2_lgbm,threshold,lucro_otimizado,lucro_baseline,ganho_absoluto,ganho_percentual,num_aceitos,taxa_aprovacao,tn,fp,fn,tp
1,2023-10,33873,4131,638.4146152907377,0.06108931856695543,629.5267126488474,0.06399933534212265,-419.19191919191917,986971.0599999999,906711.99,80259.06999999995,8.851660823410965,3976,96.24788186879691,57,2836,98,1140
2,2023-11,38004,4283,601.8672926233755,0.023907621845005167,597.8642083804227,0.0009255678499030529,-378.7878787878788,1061651.6,1043349.28,18302.320000000065,1.7541891628084572,4131,96.45108568760214,58,2980,94,1151
3,2023-12,42287,3914,546.2448844160378,0.08174263753408739,541.6535265352372,0.08464459324670781,-227.2727272727273,1046258.66,1002117.2100000001,44141.44999999995,4.404819073010426,3733,95.37557485947879,64,2727,117,1006
